algorithm,level,target_hash,charset,min,max,found,password,attempts,elapsed,hps
sha1,легкий,7c4a8d09ca3762af61e59520943dc26494f8941b,0123456789,1,6,True,123456,251110,0.448,561102.0
sha1,средний,d0be2dc421be4fcd0172e5afceea3970e2f3d940,0123456789abcdefghijklmnopqrstuvwxyz,1,6,True,apple,19727604,20.34,969877.2
sha1,сложный,666846867fc5e0a46a7afc53eb8060967862f333,0123456789abcdefghijklmnopqrstuvwxyz,1,7,True,pow12,44887604,46.217,971228.3
sha1,очень сложный,6e157c5da4410b7e9de85f5c93026b9176e69064,0123456789abcdefghijklmnopqrstuvwxyz,1,8,False,,59007604,60.016,983194.0
md5,легкий,e10adc3949ba59abbe56e057f20f883e,0123456789,1,6,True,123456,251110,0.453,554821.3
md5,средний,1f3870be274f6c49b3e31a0c6728957f,0123456789abcdefghijklmnopqrstuvwxyz,1,6,True,apple,19727604,20.677,954102.0
md5,сложный,77892341aa9dc66e97f5c248782b5d92,0123456789abcdefghijklmnopqrstuvwxyz,1,7,True,pow12,44887604,46.277,969969.1
md5,очень сложный,686e697538050e4664636337cc3b834f,0123456789abcdefghijklmnopqrstuvwxyz,1,8,False,,58267604,60.002,971093.5
bcrypt,легкий,$2a$10$z4u9ZkvopUiiytaNX7wfGedy9Lu2ywUxwYpbsAR5YBrAuUs3YGXdi,0123456789,1,6,False,,10,65.971,0.2
bcrypt,средний,$2a$10$26GB/T2/6aTsMkTjCgqm/.JP8SUjr32Bhfn9m9smtDiIwM4QIt2ze,0123456789abcdefghijklmnopqrstuvwxyz,1,6,False,,36,233.14,0.2
bcrypt,сложный,$2a$10$Q9M0vLLrE4/nu/9JEMXFTewB3Yr9uMdIEZ1Sgdk1NQTjHwLN0asfi,0123456789abcdefghijklmnopqrstuvwxyz,1,7,False,,36,230.66,0.2
bcrypt,очень сложный,$2a$10$yZBadi8Szw0nItV2g96P6eqctI2kbG/.mb0uD/ID9tlof0zpJLLL2,0123456789abcdefghijklmnopqrstuvwxyz,1,8,False,,36,230.455,0.2
argon2,легкий,"$argon2id$v=19$m=65536,t=3,p=2$c2FsdHNhbHQ$PUF5UxxoUY++mMekkQwFurL0ZsTtB7lelO23zcyZQ0c",0123456789,1,6,False,,1111110,3.835,289733.8
argon2,средний,"$argon2id$v=19$m=65536,t=3,p=2$c2FsdHNhbHQ$HYQwRUw9VcfkvqkUQ5ppyYPom6f/ro3ZCXYznhrYZw4",0123456789abcdefghijklmnopqrstuvwxyz,1,6,False,,18267604,60.012,304400.4
argon2,сложный,"$argon2id$v=19$m=65536,t=3,p=2$c2FsdHNhbHQ$9asGA7Xv3vQBz7Yyh4/Ntw0GQgOg8R6OWolOfRETrEg",0123456789abcdefghijklmnopqrstuvwxyz,1,7,False,,18227604,60.011,303736.5
argon2,очень сложный,"$argon2id$v=19$m=65536,t=3,p=2$c2FsdHNhbHQ$+smq45/czydGj0lYNdZVXF++FOXJwrkXt6VUIcEauvo",0123456789abcdefghijklmnopqrstuvwxyz,1,8,False,,18267604,60.018,304367.1
